"","Firma","Count","Mutterkonzern","operatives Ergebnis"
"465","PASM Power and Air Condition Solution Management GmbH & Co KG",24,"Deutsche Telekom","-62631183"
"378","Linde Gas Produktions gesellschaft mbH & Co. KG",20,"Line AG", "1599000000"
"496","RAG Aktiengesellschaft",19
"280","HeidelbergCement AG",13,,"2321000000"
"28","Ardagh Glass GmbH",8,,"19107081"
"188","ExxonMobil Production Deutschland GmbH",8,"ExxonMobil Central Europe Holding GmbH","-1800000"
"133","DMK Deutsches Milchkontor GmbH",7
"12","AIR LIQUIDE Deutschland GmbH",6
"147","Dyckerhoff AG",6
"629","ThyssenKrupp Steel Europe AG",6
"658","Vattenfall Europe Mining AG",6
"13","Air Liquide Industriegase GmbH & Co. KG",5
"21","Alpla-Werke Lehner GmbH & Co. KG",5
"192","Fels-Werke GmbH",5
"295","Hochtief Energy Management GmbH",5
"486","Praxair Deutschland GmbH",5
"45","Basell Polyolefine GmbH Abt. OU D240",4
"49","Bayer MaterialScience AG",4
"126","Deutsche Edelstahlwerke GmbH",4
"137","Dow Olefinverbund GmbH",4
